Record,Democrats,Female,HomeOwners,White,Age,Commute,Education,EmployeeWage,HouseholdSize,Income,County,LogPrice,LogProfit,Month,BestBuy,Employees,Krogers,Population,Rainfall,UnemploymentRate,Year
683,0.586943601181,0.520913741363,0.226260862473,0.885829582958,51.0,63.0,10.0,177.542318395,1.0,90.3621986607,15.0,6.88341960583,5.53139631254,3.0,3.0,8.0,3.0,167.138856935,4.11741891327,0.0742276991469,2017.0
723,0.589980621429,0.527758339855,0.592413901364,0.584800608234,57.0,25.0,20.0,49.3057206359,6.0,60.3238272585,16.0,5.42115461996,8.54965993045,1.0,0.0,5.0,0.0,99.9694058023,6.53233587235,0.092409914271,2017.0
112,0.223278681483,0.565790352693,0.605265942107,0.233687203965,49.0,64.0,14.0,69.1560476878,1.0,100.873835026,3.0,7.6174416219,2.02213656621,4.0,4.0,11.0,6.0,206.903386992,7.6596386439,0.024580563115,2018.0
245,0.481817344472,0.448915718282,0.308268322964,0.581420680321,69.0,58.0,7.0,156.63315357,6.0,66.9945259651,6.0,5.6698542114,10.1556897074,2.0,4.0,9.0,2.0,215.376341452,2.47944523022,0.0218831140355,2015.0
147,0.631889953722,0.479173903072,0.667278074132,0.612639093344,71.0,36.0,13.0,174.250944427,3.0,59.3126107267,4.0,5.92692545129,9.93588637169,1.0,2.0,14.0,2.0,286.436487977,6.53704237966,0.03160700373,2017.0
84,0.760022121443,0.507649947426,0.487220517304,0.00912743878027,70.0,41.0,11.0,12.8873300939,8.0,94.9332555143,2.0,7.08289451954,4.74482394407,9.0,0.0,1.0,0.0,21.493072785,3.33098966386,0.0261419007849,2018.0
119,0.024334741828,0.515984177051,0.445896041067,0.37625243953,66.0,35.0,9.0,13.0261336833,1.0,76.0419534154,3.0,7.04790362233,7.84284639232,6.0,2.0,9.0,6.0,221.842277119,9.59647466259,0.0567794926063,2017.0
237,0.320801998833,0.512215325004,0.575084253796,0.0575578086021,33.0,5.0,18.0,24.1756414401,1.0,98.0496647094,5.0,9.53526582602,-13.1022033985,12.0,2.0,13.0,5.0,265.67557092,8.87471118618,0.00758013393159,2015.0
264,0.627860718958,0.577231814527,0.478491464338,0.307309857175,24.0,25.0,15.0,174.592720822,2.0,92.6618464554,6.0,6.99408348822,13.6589957676,6.0,2.0,14.0,4.0,234.186164401,2.63928511695,0.0728281792989,2018.0
152,0.481150273655,0.564342095985,0.647366653863,0.00224537874004,59.0,67.0,13.0,37.0661153626,8.0,58.55828908,4.0,4.1452285145,19.6756602144,2.0,2.0,13.0,5.0,260.316844665,4.52876803417,0.0574541585539,2018.0
1071,0.0581246555361,0.537137340381,0.310921482035,0.525053652055,35.0,15.0,8.0,158.845864824,3.0,73.9821411942,23.0,5.16167747934,13.2330601882,4.0,0.0,2.0,1.0,89.6157931239,8.77471017016,0.122873773368,2017.0
80,0.453127619789,0.496589333616,0.203034739192,0.0597077017715,37.0,20.0,18.0,41.122254199,6.0,107.198580718,2.0,9.04278255349,-2.0238837548,8.0,0.0,1.0,0.0,17.7654382211,9.93222515637,0.039210344157,2018.0
437,0.854483253662,0.540596078387,0.401423502747,0.0968587538934,41.0,7.0,12.0,49.4622109466,1.0,52.2788142518,10.0,5.07508808892,8.18652144801,2.0,0.0,6.0,0.0,76.4322773792,4.30203314833,0.152831279847,2015.0
1001,0.652081368954,0.473322541525,0.357487320617,0.820913167232,51.0,56.0,12.0,74.3846166277,7.0,70.9011168595,21.0,5.28593906083,13.3343462494,11.0,2.0,2.0,4.0,109.58502989,7.15308771918,0.00199750757362,2015.0
733,0.855310007131,0.439082332504,0.612852784532,0.260929614565,50.0,57.0,19.0,126.72689983,2.0,92.735913299,16.0,6.5173599364,13.1634253422,4.0,3.0,10.0,1.0,184.098804035,5.22349374004,0.0217256965144,2015.0
656,0.424439156506,0.48129105305,0.610684339958,0.164282470217,36.0,67.0,13.0,1.05994937188,1.0,87.949616856,14.0,8.37813130907,-1.09787536341,8.0,0.0,4.0,1.0,86.4948407329,4.38188908135,0.127440030858,2018.0
425,0.417084035691,0.560493235233,0.413740826596,0.0253921608812,26.0,53.0,11.0,4.61606737048,1.0,86.6806582451,9.0,6.35689115512,6.41112069625,11.0,0.0,4.0,0.0,43.9208319453,7.11232516148,0.101120342175,2015.0
45,0.285261201292,0.574599199506,0.617688745354,0.275378584069,32.0,14.0,6.0,149.175735634,5.0,106.75572115,1.0,8.25148162643,-2.32410716272,12.0,2.0,7.0,4.0,139.806999157,8.6027092562,0.0648414307058,2015.0
941,0.786118088718,0.490614449394,0.243296252624,0.0107673583816,48.0,70.0,14.0,122.388550327,1.0,108.420975445,20.0,8.91004196194,3.35788727179,8.0,2.0,14.0,7.0,261.165674082,9.06251698952,0.192254801638,2015.0
383,0.140109827506,0.515930229016,0.203316365754,0.000679625903207,70.0,21.0,18.0,73.3397747195,5.0,56.1018961074,8.0,4.58103333101,11.779286664,12.0,3.0,7.0,3.0,150.781423462,9.73303882111,0.144794059952,2017.0
436,0.696250204716,0.557738963442,0.638188411992,0.115836130028,59.0,35.0,7.0,26.2126001731,3.0,70.5310900133,10.0,6.3282275818,8.56628492731,1.0,5.0,13.0,2.0,281.26386083,6.85937050376,0.182862919901,2018.0
616,0.362069626832,0.522082163362,0.441061803263,0.192031668518,39.0,49.0,13.0,25.4740450593,1.0,92.6401605055,13.0,7.83302421215,3.93004922224,10.0,2.0,13.0,2.0,265.769340704,8.28379372564,0.0769700337568,2018.0
19,0.803162864123,0.514925497156,0.372703985598,0.570483371367,54.0,27.0,10.0,88.0735606976,5.0,61.6720055007,1.0,6.00558424106,12.5505608045,5.0,1.0,10.0,3.0,185.836825636,7.90733633416,0.038238404943,2017.0
183,0.469327030448,0.421657324088,0.483732454776,0.394038087212,70.0,29.0,16.0,34.2032202157,3.0,83.5973594772,4.0,5.85554735605,5.74588419959,10.0,0.0,1.0,0.0,1.59525408763,6.1671534952,0.191579438085,2017.0
62,0.229282032257,0.500520058465,0.258669340339,0.941941858119,20.0,28.0,13.0,117.996876793,2.0,88.5635673919,2.0,8.21408884883,-0.00141693822123,4.0,2.0,12.0,4.0,221.92360437,5.93638497637,0.109869435856,2016.0
73,0.476618022052,0.526892746988,0.294922973011,0.573945800112,66.0,32.0,7.0,25.0937198127,1.0,98.428771254,2.0,7.29507906442,8.57638000966,7.0,1.0,6.0,1.0,137.164788183,4.56859161268,0.144735555191,2015.0
394,0.70927760682,0.566005985195,0.663483150704,0.563283043249,34.0,27.0,15.0,38.653037441,6.0,86.1029020507,9.0,6.62374723344,3.39916341674,3.0,1.0,5.0,0.0,99.1130930906,5.33176762334,0.11399829734,2016.0
792,0.165949530109,0.433290117615,0.558876914801,0.363179840195,27.0,28.0,15.0,129.903397427,8.0,102.619237141,17.0,8.06683292849,2.27017241103,6.0,1.0,2.0,3.0,86.4183022126,4.99744881102,0.0346159739988,2018.0
625,0.142169867955,0.52686404443,0.213307897634,0.960526852095,58.0,13.0,11.0,107.227731665,8.0,93.2152310918,14.0,7.99537012832,-2.33898707323,1.0,1.0,3.0,3.0,87.2669158025,3.39847992858,0.0879093139909,2015.0
662,0.439431957971,0.536818517512,0.584988166635,0.58396288714,68.0,13.0,17.0,2.19722037561,5.0,70.8932362611,14.0,6.13945333939,6.11229641743,10.0,3.0,10.0,5.0,174.141342293,7.61519764511,0.00851677198042,2016.0
909,0.697733813593,0.543279227949,0.645894525909,0.0729824501216,59.0,65.0,9.0,40.2012123658,3.0,130.168318398,19.0,12.0878292954,-23.0375159999,12.0,2.0,7.0,3.0,102.667283378,6.86363344919,0.0623749189225,2015.0
246,0.502929576018,0.539265079054,0.270233714118,0.1691437097,70.0,20.0,9.0,101.03422834,8.0,59.8931782406,6.0,5.77460629303,8.14939246398,2.0,2.0,10.0,10.0,272.425318268,9.45270342877,0.118175286074,2016.0
351,0.275406759262,0.433225088162,0.401235490099,0.00217891565143,61.0,69.0,20.0,130.993337539,4.0,66.9011239184,8.0,6.51869299558,7.97222229314,4.0,5.0,12.0,7.0,250.068800452,4.21499918645,0.153613414374,2017.0
1028,0.864999295218,0.496885287363,0.644322124212,0.739480434261,62.0,33.0,15.0,86.0063186115,8.0,85.3965333199,22.0,7.64830902781,5.64511397785,5.0,1.0,10.0,6.0,157.979555643,2.53762530531,0.0782036211324,2018.0
446,0.841015159206,0.560055043646,0.549998646285,0.587312233612,37.0,32.0,18.0,70.2004494111,2.0,90.7295339206,10.0,7.52880228763,1.48340888943,4.0,0.0,1.0,0.0,63.4106907538,8.59450576879,0.0631509046636,2016.0
713,0.842157896691,0.470890575507,0.234291033174,0.0730418332808,47.0,25.0,20.0,134.814613804,6.0,101.845188305,15.0,8.23479146767,-0.300274893416,11.0,3.0,12.0,5.0,187.39886288,6.66600043162,0.167239687637,2015.0
749,0.864128350436,0.483292328753,0.589791406409,0.169747630657,47.0,63.0,9.0,168.309267461,4.0,78.3016123877,16.0,7.67953903037,4.62381366034,8.0,3.0,8.0,1.0,179.308434592,2.43476394923,0.0791560552241,2015.0
778,0.333360188858,0.525986198411,0.408706999238,0.780109172812,50.0,28.0,13.0,29.4906077324,2.0,81.5381309025,17.0,5.70252220942,8.38594232224,3.0,1.0,8.0,1.0,148.49355381,5.83112225725,0.0456015935253,2016.0
601,0.685428511789,0.56966375375,0.478652511897,0.0550713119347,64.0,40.0,10.0,176.251603517,4.0,81.8762598422,13.0,7.2334759423,5.8080012335,7.0,2.0,6.0,5.0,145.806817413,5.08798052674,0.0617714978865,2015.0
797,0.475127157975,0.458382358182,0.51370178704,0.711307429489,40.0,32.0,18.0,7.14652049935,7.0,84.8957226453,17.0,7.50187000926,6.94976079966,8.0,2.0,15.0,8.0,280.094008961,7.87026846546,0.0990596998263,2015.0
553,0.853264470067,0.576908512678,0.542229344466,0.00593858043604,63.0,63.0,6.0,98.8745711014,8.0,92.5384010507,12.0,7.93972651648,-0.211357350734,7.0,0.0,4.0,1.0,44.2500047188,7.71786137173,0.147838506093,2015.0
479,0.714660098295,0.44417374783,0.410389062401,0.210447974316,59.0,65.0,19.0,28.469574671,4.0,80.6930283536,10.0,5.99867388374,7.69838300963,12.0,0.0,2.0,0.0,61.5299641911,5.04761354727,0.172433606427,2017.0
655,0.30844875947,0.561185443426,0.286366978413,0.498593896512,39.0,47.0,21.0,107.631138402,5.0,62.1821644072,14.0,4.38924371809,25.5033364505,8.0,5.0,11.0,7.0,254.64842464,7.1152928838,0.131769263777,2017.0
1121,0.597139307769,0.508860439014,0.215543746134,0.445984491343,63.0,61.0,7.0,1.47604753478,3.0,86.515796861,24.0,7.9925155355,3.86429685161,5.0,2.0,10.0,4.0,217.249981949,3.9848573923,0.129465859331,2015.0
562,0.495445565524,0.565230004199,0.504549819357,0.128992092312,55.0,68.0,10.0,58.6666093672,1.0,87.4675114692,12.0,7.98937192547,2.5163904992,9.0,1.0,6.0,3.0,97.0108423352,9.50735430918,0.111119767859,2016.0
520,0.728907018816,0.519844167907,0.313331435644,0.181196124685,51.0,45.0,18.0,94.7944970909,2.0,92.7401891535,11.0,7.1848908579,7.24155146724,10.0,2.0,11.0,2.0,209.481975607,4.59698539784,0.188083039164,2018.0
